capture_number,capture_id,source_image_path,reason
2485,run_000008_img_2485,images/run_000008/shard_0025/run_000008_img_2485.jpg,15-frame split boundary buffer
2486,run_000008_img_2486,images/run_000008/shard_0025/run_000008_img_2486.jpg,15-frame split boundary buffer
2487,run_000008_img_2487,images/run_000008/shard_0025/run_000008_img_2487.jpg,15-frame split boundary buffer
2488,run_000008_img_2488,images/run_000008/shard_0025/run_000008_img_2488.jpg,15-frame split boundary buffer
2489,run_000008_img_2489,images/run_000008/shard_0025/run_000008_img_2489.jpg,15-frame split boundary buffer
2490,run_000008_img_2490,images/run_000008/shard_0025/run_000008_img_2490.jpg,15-frame split boundary buffer
2491,run_000008_img_2491,images/run_000008/shard_0025/run_000008_img_2491.jpg,15-frame split boundary buffer
2492,run_000008_img_2492,images/run_000008/shard_0025/run_000008_img_2492.jpg,15-frame split boundary buffer
2493,run_000008_img_2493,images/run_000008/shard_0025/run_000008_img_2493.jpg,15-frame split boundary buffer
2494,run_000008_img_2494,images/run_000008/shard_0025/run_000008_img_2494.jpg,15-frame split boundary buffer
2495,run_000008_img_2495,images/run_000008/shard_0025/run_000008_img_2495.jpg,15-frame split boundary buffer
2496,run_000008_img_2496,images/run_000008/shard_0025/run_000008_img_2496.jpg,15-frame split boundary buffer
2497,run_000008_img_2497,images/run_000008/shard_0025/run_000008_img_2497.jpg,15-frame split boundary buffer
2498,run_000008_img_2498,images/run_000008/shard_0025/run_000008_img_2498.jpg,15-frame split boundary buffer
2499,run_000008_img_2499,images/run_000008/shard_0025/run_000008_img_2499.jpg,15-frame split boundary buffer
3032,run_000008_img_3032,images/run_000008/shard_0031/run_000008_img_3032.jpg,15-frame split boundary buffer
3033,run_000008_img_3033,images/run_000008/shard_0031/run_000008_img_3033.jpg,15-frame split boundary buffer
3034,run_000008_img_3034,images/run_000008/shard_0031/run_000008_img_3034.jpg,15-frame split boundary buffer
3035,run_000008_img_3035,images/run_000008/shard_0031/run_000008_img_3035.jpg,15-frame split boundary buffer
3036,run_000008_img_3036,images/run_000008/shard_0031/run_000008_img_3036.jpg,15-frame split boundary buffer
3037,run_000008_img_3037,images/run_000008/shard_0031/run_000008_img_3037.jpg,15-frame split boundary buffer
3038,run_000008_img_3038,images/run_000008/shard_0031/run_000008_img_3038.jpg,15-frame split boundary buffer
3039,run_000008_img_3039,images/run_000008/shard_0031/run_000008_img_3039.jpg,15-frame split boundary buffer
3040,run_000008_img_3040,images/run_000008/shard_0031/run_000008_img_3040.jpg,15-frame split boundary buffer
3041,run_000008_img_3041,images/run_000008/shard_0031/run_000008_img_3041.jpg,15-frame split boundary buffer
3042,run_000008_img_3042,images/run_000008/shard_0031/run_000008_img_3042.jpg,15-frame split boundary buffer
3043,run_000008_img_3043,images/run_000008/shard_0031/run_000008_img_3043.jpg,15-frame split boundary buffer
3044,run_000008_img_3044,images/run_000008/shard_0031/run_000008_img_3044.jpg,15-frame split boundary buffer
3045,run_000008_img_3045,images/run_000008/shard_0031/run_000008_img_3045.jpg,15-frame split boundary buffer
3046,run_000008_img_3046,images/run_000008/shard_0031/run_000008_img_3046.jpg,15-frame split boundary buffer
