capture_id,roboflow_file_name,coco_split,box_count,local_label_path
run_000008_img_1113,run_000008_img_1113_jpg.rf.pK1YyXHHbKGDp8GxpHKa.jpg,train,18,labels/train/run_000008_img_1113.txt
run_000008_img_1171,run_000008_img_1171_jpg.rf.vw25tjfS2xHEfSXi325A.jpg,train,18,labels/train/run_000008_img_1171.txt
run_000008_img_120,run_000008_img_120_jpg.rf.lOJ0PSB8PIo7RzK8Bvqw.jpg,train,9,labels/train/run_000008_img_120.txt
run_000008_img_1508,run_000008_img_1508_jpg.rf.AlWXXi7GOIDCmSiEi24G.jpg,valid,12,labels/train/run_000008_img_1508.txt
run_000008_img_1568,run_000008_img_1568_jpg.rf.HPxNlViWgpSETxu3Ez88.jpg,train,16,labels/train/run_000008_img_1568.txt
run_000008_img_188,run_000008_img_188_jpg.rf.sdSpXESkeRMFW0aT3FEW.jpg,test,8,labels/train/run_000008_img_188.txt
run_000008_img_1913,run_000008_img_1913_jpg.rf.OTRSPTo4gg4ZRzV4dvie.jpg,train,17,labels/train/run_000008_img_1913.txt
run_000008_img_2080,run_000008_img_2080_jpg.rf.pYnkumtt0IGK8FNf4jny.jpg,train,14,labels/train/run_000008_img_2080.txt
run_000008_img_2127,run_000008_img_2127_jpg.rf.wwtKenL3KadWzWwyjgPt.jpg,train,13,labels/train/run_000008_img_2127.txt
run_000008_img_2175,run_000008_img_2175_jpg.rf.UjtfJucTkMWgR2n3jsV3.jpg,train,15,labels/train/run_000008_img_2175.txt
run_000008_img_2291,run_000008_img_2291_jpg.rf.6Q8vCwN1RkeAICViDc64.jpg,test,16,labels/train/run_000008_img_2291.txt
run_000008_img_2412,run_000008_img_2412_jpg.rf.CdHFhCtDzJzkU0lIQtBm.jpg,train,13,labels/train/run_000008_img_2412.txt
run_000008_img_2464,run_000008_img_2464_jpg.rf.Z94KsBaKpY2VzAxi8Kzb.jpg,train,13,labels/train/run_000008_img_2464.txt
run_000008_img_2465,run_000008_img_2465_jpg.rf.NWeRGEoyPeXkc1lVx2Jz.jpg,train,13,labels/train/run_000008_img_2465.txt
run_000008_img_2466,run_000008_img_2466_jpg.rf.NEKpxjcaZ9iZYK5P7ylT.jpg,train,13,labels/train/run_000008_img_2466.txt
run_000008_img_2467,run_000008_img_2467_jpg.rf.a2AdK4dM33BJfXPzelus.jpg,train,13,labels/train/run_000008_img_2467.txt
run_000008_img_2468,run_000008_img_2468_jpg.rf.GYTArl774O47bzW9hjGS.jpg,train,13,labels/train/run_000008_img_2468.txt
run_000008_img_2469,run_000008_img_2469_jpg.rf.QjQzeznl5KV5dbyW21G2.jpg,train,13,labels/train/run_000008_img_2469.txt
run_000008_img_2470,run_000008_img_2470_jpg.rf.WdgkBck8HbbFWUIBwjtZ.jpg,train,13,labels/train/run_000008_img_2470.txt
run_000008_img_2471,run_000008_img_2471_jpg.rf.NaISvwDqBsqs3NkiXS9l.jpg,train,13,labels/train/run_000008_img_2471.txt
run_000008_img_2472,run_000008_img_2472_jpg.rf.HLAyG3FhwUmOkwpHBuy4.jpg,train,13,labels/train/run_000008_img_2472.txt
run_000008_img_2473,run_000008_img_2473_jpg.rf.f0eNrHu29K84mzCBiws5.jpg,train,13,labels/train/run_000008_img_2473.txt
run_000008_img_2474,run_000008_img_2474_jpg.rf.ER0EwETAdcBfOVHCX3iU.jpg,train,13,labels/train/run_000008_img_2474.txt
run_000008_img_2475,run_000008_img_2475_jpg.rf.Z5NUtEGkp7GGII1UyWWL.jpg,train,14,labels/train/run_000008_img_2475.txt
run_000008_img_2476,run_000008_img_2476_jpg.rf.t6fUaQzqM36NOWS35KKb.jpg,train,13,labels/train/run_000008_img_2476.txt
run_000008_img_2477,run_000008_img_2477_jpg.rf.WK1E6QljnjCJMhgRqq0A.jpg,train,13,labels/train/run_000008_img_2477.txt
run_000008_img_2478,run_000008_img_2478_jpg.rf.8J0qkzMGezFOGxRkgkle.jpg,train,13,labels/train/run_000008_img_2478.txt
run_000008_img_2479,run_000008_img_2479_jpg.rf.YBOTH52w3Ee1clmec2wI.jpg,train,13,labels/train/run_000008_img_2479.txt
run_000008_img_2480,run_000008_img_2480_jpg.rf.Ze5Ng9JDZyccoq2RKO4J.jpg,train,13,labels/train/run_000008_img_2480.txt
run_000008_img_2481,run_000008_img_2481_jpg.rf.yATd9KXd4TDGrIQIM8Sr.jpg,train,13,labels/train/run_000008_img_2481.txt
run_000008_img_2482,run_000008_img_2482_jpg.rf.ukZ5Yxn6pmArzYKShzk2.jpg,train,14,labels/train/run_000008_img_2482.txt
run_000008_img_2483,run_000008_img_2483_jpg.rf.yj5CPxMCSL6pcSEV2RBy.jpg,train,13,labels/train/run_000008_img_2483.txt
run_000008_img_2484,run_000008_img_2484_jpg.rf.uBo3qU4yobpjFmAv6iLU.jpg,train,14,labels/train/run_000008_img_2484.txt
run_000008_img_552,run_000008_img_552_jpg.rf.AGgOfx25NEcKBAlmrMPZ.jpg,test,9,labels/train/run_000008_img_552.txt
run_000008_img_558,run_000008_img_558_jpg.rf.O88DXiAUuJIXGMLcAdI8.jpg,train,10,labels/train/run_000008_img_558.txt
run_000008_img_662,run_000008_img_662_jpg.rf.og5qWoP2nMH6EN5dyl8F.jpg,valid,12,labels/train/run_000008_img_662.txt
run_000008_img_937,run_000008_img_937_jpg.rf.1NCHJmkAdw63r7dri0zv.jpg,train,16,labels/train/run_000008_img_937.txt
